country,population,travellers,hdi
Mozambique,27.21,686892,0.437
Namibia,2.371,553322,0.647
Nepal,28.32,510341,0.574
Netherlands,16.9,17928000.0,0.924
New Zealand,4.6,2276000.0,0.91
Nicaragua,6.0,959000.0,0.649
Niger,19.15,15242,0.354
Nigeria,176.5,3223459,0.532
Norway,5.1,9190000.0,0.946
Oman,4.0,3358000.0,0.815
Pakistan,185.5,8467827,0.562
Panama,3.9,853000.0,0.7809999999999999
Paraguay,6.6,426000.0,0.698
Peru,31.0,2442000.0,0.746
Philippines,100.1,32230986,0.699
Poland,38.3,35400000.0,0.8420000000000001
Portugal,10.5,1628000.0,0.8390000000000001
Romania,20.0,12299000.0,0.802
Russia,143.8,45889000.0,0.807
Rwanda,11.35,645815,0.524
Samoa,0.2,57000.0,0.703
Saudi Arabia,30.8,19824490.0,0.852
Senegal,14.55,115355,0.505
Serbia,7.131,2424886,0.787
Seychelles,0.1,50000.0,0.7859999999999999
Sierra Leone,7.1,93000.0,0.423
Singapore,5.4,8903000.0,0.9279999999999999
Slovakia,5.416,11100,0.855
Slovenia,2.1,2642000.0,0.887
Solomon Islands,0.575,373738,0.546
South Africa,54.54,17188887,0.699
South Korea,50.75,65482307,0.903
Spain,46.5,11783000.0,0.88
Sri Lanka,20.6,1311000.0,0.763
Sudan,37.74,496178,0.502
Suriname,0.547,259682,0.720
Sweden,9.645,11623930,0.933
Switzerland,8.2,12518000.0,0.9390000000000001
Tajikistan,8.4,19000.0,0.645
Tanzania,52.23,1239707,0.538
Thailand,68.4,6444000.0,0.735
Togo,7.229,769904,0.503
Trinidad and Tobago,1.354,2617842,0.784
Tunisia,11.1,2637000.0,0.725
Turkey,77.0,7982000.0,0.778
Turkmenistan,5.466,2138389,0.706
Uganda,38.8,511000.0,0.5
Ukraine,44.9,22438000.0,0.748
United Arab Emirates,9.071,84738479,0.863
United Kingdom,65.0,60082000.0,0.919
United States,317.7,68176000.0,0.9179999999999999
Uruguay,3.4,2396000.0,0.8009999999999999
Uzbekistan,30.76,2486673,0.710
Vanuatu,0.3,26000.0,0.598
Venezuela,30.74,6456853,0.778
Vietnam,92.54,29944771,0.694
Yemen,26.25,1387999,0.452
Zambia,15.62,11796,0.588
Zimbabwe,15.4,792000.0,0.525
